,K$_2$S$_2$O$_8$,$\mathit{t}$-BuOOH,Oxone,CumylOTBS
Light,12,4,72,89
Thermal,28,74,83,83

,K$_2$S$_2$O$_8$,$\mathit{t}$-BuOOH,Oxone,CumylOTBS
Light,12,4,72,89
Thermal,28,74,83,83
